nome,idade_anos,prs_aceitas,total_releases,dias_desde_atualizacao,linguagem,razao_issues_fechadas,total_forks,licenca,possui_ci_cd,total_linguagens
codecrafters-io/build-your-own-x,8.27,157,0,33,Markdown,0.7149,51010,Não informado,false,1
sindresorhus/awesome,12.10,700,0,47,Não informado,0.9565,36423,Creative Commons Zero v1.0 Universal,true,0
public-apis/public-apis,10.41,2132,0,0,Python,0.9764,50990,MIT License,true,2
freeCodeCamp/freeCodeCamp,11.64,29099,0,0,TypeScript,0.9923,45987,"BSD 3-Clause ""New"" or ""Revised"" License",true,7
EbookFoundation/free-programming-books,12.85,7421,0,0,Python,0.9706,66660,Creative Commons Attribution 4.0 International,true,2
openclaw/openclaw,0.73,25493,235,0,TypeScript,0.9282,81207,Other,true,15
nilbuild/developer-roadmap,9.42,4396,1,2,TypeScript,1.0000,44799,Other,true,2
donnemartin/system-design-primer,9.47,210,0,149,Python,0.3167,57876,Other,false,2
jwasham/coding-interview-university,10.20,415,0,353,Não informado,0.8489,84651,Creative Commons Attribution Share Alike 4.0 International,true,0
vinta/awesome-python,12.14,740,0,0,Python,0.0000,28524,Other,true,5
awesome-selfhosted/awesome-selfhosted,11.21,0,1,0,Não informado,0.0000,14700,Other,false,0
practical-tutorials/project-based-learning,9.35,194,0,6,Python,0.3682,35890,MIT License,true,1
996icu/996.ICU,7.39,1071,0,359,Não informado,0.0000,20754,Other,false,0
obra/superpowers,0.85,167,12,3,Shell,0.8186,24387,MIT License,false,6
react/react,13.23,13034,132,2,JavaScript,0.9444,51239,MIT License,true,7
torvalds/linux,14.95,0,0,0,C,0.0000,63944,Other,false,25
affaan-m/ECC,0.58,996,15,0,JavaScript,0.9421,36483,MIT License,true,9
trimstray/the-book-of-secret-knowledge,8.15,122,0,635,Não informado,0.0000,14129,MIT License,false,0
NousResearch/hermes-agent,1.07,10936,26,0,Python,0.5057,46038,MIT License,true,24
TheAlgorithms/Python,10.08,3088,0,13,Python,0.9182,50965,MIT License,true,3
mattpocock/skills,0.53,89,7,0,Shell,0.4641,18875,MIT License,true,2
vuejs/vue,13.05,1136,249,675,TypeScript,0.9636,33770,MIT License,true,5
ossu/computer-science,12.29,315,0,33,HTML,0.9748,25756,MIT License,true,1
