numero,titulo,tipo,status,url
7,Implementar paginação da consulta GraphQL (1000 repositórios),Issue,Doing,https://github.com/gabialvarenga/lab-experimentacao-software/issues/7
13,Script de snapshot do board (export GraphQL → CSV),Issue,Doing,https://github.com/gabialvarenga/lab-experimentacao-software/issues/13
26,"Adicionar campos extras à coleta (licença, CI/CD, nº de linguagens)",Issue,Done,https://github.com/gabialvarenga/lab-experimentacao-software/issues/26
8,Exportar dados completos para CSV (1000 repositórios),Issue,To Do,https://github.com/gabialvarenga/lab-experimentacao-software/issues/8
9,Validação de dados e hipótese informal - RQ01 e RQ02,Issue,To Do,https://github.com/gabialvarenga/lab-experimentacao-software/issues/9
10,Validação de dados e hipótese informal - RQ03 e RQ04,Issue,To Do,https://github.com/gabialvarenga/lab-experimentacao-software/issues/10
11,"Validação de dados e hipótese informal - RQ05, RQ06, RQ08 e métricas extras (bônus)",Issue,To Do,https://github.com/gabialvarenga/lab-experimentacao-software/issues/11
12,Primeira versão do relatório com hipóteses informais,Issue,To Do,https://github.com/gabialvarenga/lab-experimentacao-software/issues/12
14,Executar snapshot de fechamento da sprint S01 e S02,Issue,To Do,https://github.com/gabialvarenga/lab-experimentacao-software/issues/14
29,Configurar CI (GitHub Actions) — testes e type-check a cada push,Issue,To Do,https://github.com/gabialvarenga/lab-experimentacao-software/issues/29
28,"Script de qualidade de dados (outliers, valores ausentes, distribuição)",Issue,To Do,https://github.com/gabialvarenga/lab-experimentacao-software/issues/28
27,Refatorar cálculo de métricas para Strategy Pattern,Issue,To Do,https://github.com/gabialvarenga/lab-experimentacao-software/issues/27
1,Consulta GraphQL - RQ01 (idade do repo) e RQ02 (PRs aceitas),Issue,Done,https://github.com/gabialvarenga/lab-experimentacao-software/issues/1
5,Integrar consultas RQ01-RQ06+RQ08 em script único (100 repositórios,Issue,Done,https://github.com/gabialvarenga/lab-experimentacao-software/issues/5
3,Consulta GraphQL - RQ05 (linguagem) e RQ06 (issues fechadas),Issue,Done,https://github.com/gabialvarenga/lab-experimentacao-software/issues/3
6,"Setup do GitHub Projects - colunas, WIP e board inicial",Issue,Done,https://github.com/gabialvarenga/lab-experimentacao-software/issues/6
2,Consulta GraphQL - RQ03 (releases) e RQ04 (última atualização),Issue,Done,https://github.com/gabialvarenga/lab-experimentacao-software/issues/2
4,[Bônus] RQ08 - Sistemas populares têm alto efeito de rede (forks),Issue,Done,https://github.com/gabialvarenga/lab-experimentacao-software/issues/4
15,Análise e visualização - RQ01 (idade) e RQ02 (PRs aceitas),Issue,Backlog,https://github.com/gabialvarenga/lab-experimentacao-software/issues/15
16,Análise e visualização - RQ03 (releases) e RQ04 (última atualização),Issue,Backlog,https://github.com/gabialvarenga/lab-experimentacao-software/issues/16
17,"Análise e visualização - RQ05 (linguagem), RQ06 (issues fechadas) e RQ08 (bônus - forks)",Issue,Backlog,https://github.com/gabialvarenga/lab-experimentacao-software/issues/17
18,"Análise RQ07 - Contribuição, releases e atualização por linguagem",Issue,Backlog,https://github.com/gabialvarenga/lab-experimentacao-software/issues/18
19,Consolidar relatório de análise - RQ01 a RQ08,Issue,Backlog,https://github.com/gabialvarenga/lab-experimentacao-software/issues/19
20,Executar snapshot de fechamento da sprint S03,Issue,Backlog,https://github.com/gabialvarenga/lab-experimentacao-software/issues/20
