nome,idade_anos,prs_aceitas,total_releases,dias_desde_atualizacao,linguagem,razao_issues_fechadas,total_forks,total_estrelas,razao_fork_estrela,licenca,possui_ci_cd,total_linguagens
codecrafters-io/build-your-own-x,8.30,157,0,43,Markdown,0.7099,51221,543177,0.09429891177277389,Não informado,false,1
sindresorhus/awesome,12.13,702,0,5,Não informado,0.9565,36588,500198,0.07314703377462525,Creative Commons Zero v1.0 Universal,true,0
public-apis/public-apis,10.43,2161,0,0,Python,0.9671,51938,470988,0.11027457175129728,MIT License,true,2
freeCodeCamp/freeCodeCamp,11.67,29201,0,0,TypeScript,0.9933,46048,454637,0.10128520116048628,"BSD 3-Clause ""New"" or ""Revised"" License",true,7
EbookFoundation/free-programming-books,12.88,7424,0,8,Python,0.9691,66700,395273,0.16874413380119563,Creative Commons Attribution 4.0 International,true,2
openclaw/openclaw,0.75,28645,235,0,TypeScript,0.9276,81406,387712,0.2099651287553648,Other,true,16
donnemartin/system-design-primer,9.50,210,0,159,Python,0.3136,58071,366221,0.1585681869690706,Other,false,2
nilbuild/developer-roadmap,9.45,4401,1,5,TypeScript,0.9987,44855,365492,0.12272498440458342,Other,true,2
jwasham/coding-interview-university,10.22,415,0,363,Não informado,0.8473,84738,359793,0.23551875661838892,Creative Commons Attribution Share Alike 4.0 International,true,0
vinta/awesome-python,12.16,744,0,1,Python,0.0000,28574,316242,0.09035485482636715,Other,true,5
awesome-selfhosted/awesome-selfhosted,11.24,0,1,4,Não informado,0.0000,14826,315386,0.04700906191143551,Other,false,0
practical-tutorials/project-based-learning,9.37,194,0,2,Python,0.3693,36033,280974,0.1282431826432339,MIT License,true,1
obra/superpowers,0.88,167,12,7,Shell,0.8708,24880,278038,0.08948417122839324,MIT License,false,6
996icu/996.ICU,7.42,1072,0,369,Não informado,0.0000,20747,276783,0.0749576382942594,Other,false,0
react/react,13.26,13053,132,0,JavaScript,0.9434,51254,247904,0.20674938685942945,MIT License,true,7
torvalds/linux,14.98,0,0,0,C,0.0000,64117,244487,0.2622511626385043,Other,false,25
affaan-m/ECC,0.60,998,15,0,JavaScript,0.9265,36826,243468,0.15125601721786847,MIT License,true,9
trimstray/the-book-of-secret-knowledge,8.18,122,0,645,Não informado,0.0000,14218,240505,0.05911727406914617,MIT License,false,0
mattpocock/skills,0.56,95,7,2,Shell,0.4374,20239,237857,0.08508893999335736,MIT License,true,2
NousResearch/hermes-agent,1.09,11900,29,0,Python,0.4913,47894,236853,0.20220980945987596,MIT License,true,27
TheAlgorithms/Python,10.11,3090,0,1,Python,0.9168,50992,224044,0.22759815036332148,MIT License,true,3
vuejs/vue,13.08,1136,249,685,TypeScript,0.9637,33749,210689,0.16018396783885253,MIT License,true,5
ossu/computer-science,12.31,315,0,43,HTML,0.9748,25795,208436,0.12375501352933274,MIT License,true,1
multica-ai/andrej-karpathy-skills,0.58,12,0,128,Não informado,0.0000,21169,207664,0.10193870868325756,Não informado,false,0
n8n-io/n8n,7.18,20513,779,0,TypeScript,0.9663,60404,202524,0.29825600916434597,Other,true,17
anomalyco/opencode,1.32,7872,865,0,TypeScript,0.8352,26159,201682,0.12970418778076379,MIT License,true,10
deepseek-ai/deepseek-harness,0.04,0,4,5,TypeScript,0.0000,22482,197827,0.11364475021104298,MIT License,true,9
tensorflow/tensorflow,10.80,49387,222,0,C++,0.9823,76153,197636,0.38531947620878787,Apache License 2.0,true,25
trekhleb/javascript-algorithms,8.43,309,0,31,JavaScript,0.6381,31035,196565,0.15788670414366748,MIT License,true,1
DigitalPlatDev/FreeDomain,2.24,0,0,14,Markdown,0.0000,4239,195841,0.021645110063776226,GNU Affero General Public License v3.0,false,1
ultraworkers/claw-code,0.41,143,0,10,Rust,0.9923,108902,195117,0.5581369127241603,MIT License,true,5
microsoft/vscode,10.98,52553,235,0,TypeScript,0.9296,41834,189625,0.220614370468029,MIT License,true,47
ohmyzsh/ohmyzsh,16.99,3660,0,1,Shell,0.9699,26583,189390,0.14036115951211786,MIT License,true,3
massgravel/Microsoft-Activation-Scripts,6.62,0,31,53,Batchfile,0.9954,17995,188363,0.09553362390703057,GNU General Public License v3.0,false,2
yt-dlp/yt-dlp,5.83,3423,136,0,Python,0.8344,16147,187142,0.08628207457438736,The Unlicense,true,5
Significant-Gravitas/AutoGPT,3.45,4807,118,0,Python,0.9260,46050,186895,0.24639503464512158,Other,true,13
CyC2018/CS-Notes,8.53,374,0,735,Não informado,0.7755,50786,185669,0.273529776106943,Não informado,false,0
jackfrued/Python-100-Days,8.49,13,0,28,Jupyter Notebook,0.2619,55708,185641,0.3000845718348856,Não informado,false,4
getify/You-Dont-Know-JS,12.78,370,0,192,Não informado,1.0000,33428,184742,0.1809442357449849,Other,false,0
avelino/awesome-go,12.14,3889,0,0,Go,0.9697,13515,182342,0.07411896326682826,MIT License,true,1
ollama/ollama,3.17,3564,248,0,Go,0.7807,17571,179517,0.09787930948043917,MIT License,true,15
flutter/flutter,11.47,49835,7,0,Dart,0.8913,31004,178662,0.17353438336075944,"BSD 3-Clause ""New"" or ""Revised"" License",true,21
microsoft/markitdown,1.78,184,20,7,Python,0.3105,12950,176472,0.07338274627136317,MIT License,true,2
github/gitignore,15.80,1780,0,1,Não informado,0.0000,82252,175466,0.4687631791914103,Creative Commons Zero v1.0 Universal,true,0
twbs/bootstrap,15.08,9503,94,1,MDX,0.9956,78639,174654,0.4502559345906764,MIT License,true,8
521xueweihan/HelloGitHub,10.31,17,68,24,Python,0.8080,12666,173118,0.07316396908467057,Não informado,false,1
firecrawl/firecrawl,2.36,1975,35,0,TypeScript,0.9230,9535,172760,0.05519217411437833,GNU Affero General Public License v3.0,true,20
anthropics/skills,0.93,51,0,5,Python,0.1319,20425,171801,0.11888755013067444,Não informado,false,4
f/prompts.chat,3.72,236,0,0,HTML,0.8786,21669,167962,0.1290113239899501,Other,true,7
AUTOMATIC1111/stable-diffusion-webui,4.01,1875,27,177,Python,0.6940,30559,164676,0.18557045349656295,GNU Affero General Public License v3.0,true,6
huggingface/transformers,7.83,20302,271,0,Python,0.9554,34375,164472,0.20900214018191546,Apache License 2.0,true,5
jlevy/the-art-of-command-line,11.27,317,0,792,Não informado,0.5227,14836,162178,0.0914797321461604,Não informado,false,0
Snailclimb/JavaGuide,8.30,1272,0,0,JavaScript,0.9853,46168,158051,0.2921082435416416,Apache License 2.0,true,1
langflow-ai/langflow,3.55,7394,305,0,Python,0.9346,9938,153716,0.06465169533425277,MIT License,true,11
langgenius/dify,3.37,13633,169,0,TypeScript,0.9844,24272,153590,0.1580311218178267,Other,true,13
open-webui/open-webui,2.89,4127,168,0,Python,0.9832,21896,150023,0.14595095418702467,Other,true,11
Genymobile/scrcpy,8.76,153,52,9,C,0.5457,13644,148328,0.09198532980961113,Apache License 2.0,true,8
msitarzewski/agency-agents,0.87,227,0,0,Shell,0.5946,23920,148211,0.16139152964354872,MIT License,true,3
airbnb/javascript,13.81,822,0,132,JavaScript,0.9294,26597,148136,0.17954447264675705,MIT License,true,1
langchain-ai/langchain,3.86,17308,1000,0,Python,0.9660,24197,145072,0.16679304069703318,MIT License,true,7
x1xhlol/system-prompts-and-models-of-ai-tools,1.48,52,0,15,Não informado,0.5755,34847,143153,0.24342486710023542,GNU General Public License v3.0,false,0
anthropics/claude-code,1.51,162,199,0,Python,0.8354,22889,143088,0.15996449737224644,Não informado,true,5
yangshun/tech-interview-handbook,10.14,494,0,19,TypeScript,0.7244,16774,142187,0.11797140385548609,MIT License,true,4
vercel/next.js,9.89,28365,1000,0,JavaScript,0.9435,31791,141945,0.22396702948325056,MIT License,true,15
ytdl-org/youtube-dl,15.82,1646,341,188,Python,0.8648,10670,141038,0.07565337001375516,The Unlicense,true,5
clash-verge-rev/clash-verge-rev,2.76,1022,67,0,TypeScript,0.9329,10104,140309,0.07201248672572678,GNU General Public License v3.0,true,7
microsoft/PowerToys,7.32,7028,145,0,C,0.8201,8508,138136,0.06159147506804888,MIT License,true,11
iptv-org/iptv,7.78,7002,0,0,TypeScript,0.9985,7910,136788,0.05782670994531684,The Unlicense,true,2
golang/go,12.02,1,0,0,Go,0.8687,19305,136471,0.1414586249093214,"BSD 3-Clause ""New"" or ""Revised"" License",false,12
labuladong/fucking-algorithm,6.52,244,0,179,Markdown,1.0000,23569,135470,0.17397947885140622,Não informado,false,1
ripienaar/free-for-dev,11.44,3100,0,0,HTML,0.0000,14173,135403,0.10467271773889796,Não informado,false,1
Shubhamsaboo/awesome-llm-apps,2.33,243,0,4,Python,0.9598,19774,134590,0.14692027639497734,Apache License 2.0,true,9
github/spec-kit,1.01,1449,215,0,Python,0.8906,11828,131675,0.0898272261249288,MIT License,true,3
excalidraw/excalidraw,6.65,3963,15,0,TypeScript,0.5375,15009,130575,0.11494543365881678,MIT License,true,8
Comfy-Org/ComfyUI,3.61,3192,154,0,Python,0.5494,15337,130140,0.11785000768403259,GNU General Public License v3.0,true,4
garrytan/gstack,0.46,312,0,0,TypeScript,0.6223,19541,129846,0.15049366172234802,MIT License,true,8
krahets/hello-algo,3.81,996,10,9,Java,0.9521,15522,129620,0.11975003857429409,Other,true,9
farion1231/cc-switch,1.06,464,51,0,Rust,0.6647,8885,129565,0.06857561841546714,MIT License,true,5
Chalarangelo/30-seconds-of-code,8.74,856,12,7,JavaScript,1.0000,12486,128835,0.09691465828385144,Creative Commons Attribution 4.0 International,true,6
react/react-native,11.63,1003,473,0,C++,0.9756,25233,126420,0.19959658281917417,MIT License,true,16
ggml-org/llama.cpp,3.46,9883,1000,0,C++,0.9144,22227,125789,0.17670066539999524,MIT License,true,26
kubernetes/kubernetes,12.22,65668,815,0,Go,0.9623,43924,125202,0.35082506669222535,Apache License 2.0,false,10
electron/electron,13.37,26850,1000,0,C++,0.9711,17441,122727,0.14211216765666887,MIT License,true,11
shadcn-ui/ui,3.64,1460,118,0,TypeScript,0.7485,9994,122206,0.08177994533819943,MIT License,true,8
rustdesk/rustdesk,5.91,4226,39,0,Rust,0.9806,18670,121893,0.15316712198403518,GNU Affero General Public License v3.0,true,16
nextlevelbuilder/ui-ux-pro-max-skill,0.74,145,41,0,Python,0.7584,13020,121312,0.10732656291216038,MIT License,true,6
nodejs/node,11.75,13343,514,0,JavaScript,0.9693,36611,119566,0.30619908669688706,Other,true,15
Hack-with-Github/Awesome-Hacking,10.41,41,0,31,Não informado,0.0000,10688,119095,0.08974348209412654,Creative Commons Zero v1.0 Universal,true,0
openai/codex,1.37,9994,1000,0,Rust,0.4358,18109,118755,0.1524904214559387,Apache License 2.0,true,15
microsoft/generative-ai-for-beginners,3.19,601,0,6,Jupyter Notebook,1.0000,62534,118609,0.5272281192826851,MIT License,true,8
justjavac/free-programming-books-zh_CN,12.81,300,3,28,Não informado,0.0000,28259,118521,0.23843032036516734,GNU General Public License v3.0,false,0
harry0703/MoneyPrinterTurbo,2.46,233,18,0,Python,0.9924,17778,116873,0.15211383296398656,MIT License,true,6
rust-lang/rust,16.19,73843,154,0,Rust,0.8229,15469,116186,0.13313996522816862,Apache License 2.0,true,25
godotengine/godot,12.64,43480,73,0,C++,0.7885,26485,116178,0.22796915078586308,MIT License,true,14
mrdoob/three.js,16.43,16050,177,0,JavaScript,0.9820,36501,114813,0.31791696062292596,MIT License,true,4
2dust/v2rayN,7.08,618,334,0,C#,0.9992,15770,114738,0.13744356708326796,GNU General Public License v3.0,true,2
d3/d3,15.91,495,194,90,Shell,0.9978,22676,113559,0.19968474537465106,ISC License,true,2
immich-app/immich,4.56,10094,305,0,TypeScript,0.9469,6731,112725,0.05971168773563983,GNU Affero General Public License v3.0,true,19
DietrichGebert/ponytail,0.21,174,15,18,JavaScript,0.7617,6161,112409,0.05480877865651327,MIT License,true,4
jaywcjlove/awesome-mac,10.11,1252,15,0,Swift,0.7168,8565,111839,0.07658330278346552,Creative Commons Zero v1.0 Universal,true,2
Graphify-Labs/graphify,0.40,135,196,1,Python,0.6420,10794,111023,0.0972230979166479,Apache License 2.0,true,2
browser-use/browser-use,1.82,1901,135,0,Python,0.9307,12182,110881,0.10986553151576915,MIT License,true,4
microsoft/TypeScript,12.19,14935,218,0,Go,0.8823,13763,110713,0.1243124113699385,Apache License 2.0,true,5
VoltAgent/awesome-design-md,0.41,6,0,26,Não informado,0.2026,12595,110641,0.11383664283583843,MIT License,false,0
tauri-apps/tauri,7.12,5680,0,0,Rust,0.7991,3895,110585,0.035221775105122755,Apache License 2.0,true,18
axios/axios,12.02,1487,124,0,JavaScript,0.9905,11826,109191,0.1083056295848559,MIT License,true,3
fatedier/frp,10.68,862,116,0,Go,0.9901,15207,109039,0.13946386155412283,Apache License 2.0,true,9
papers-we-love/papers-we-love,12.70,445,0,2,Shell,0.9921,6416,109018,0.05885266653213231,Não informado,true,1
supabase/supabase,6.87,18861,30,0,TypeScript,0.9516,13654,108434,0.12591991441798697,Apache License 2.0,true,13
denoland/deno,8.28,16493,388,0,Rust,0.9211,6353,108308,0.058656793588654575,MIT License,true,17
openai/whisper,3.94,122,13,29,Python,0.0000,13099,107972,0.12131848997888342,MIT License,true,1
google-gemini/gemini-cli,1.36,6669,601,0,TypeScript,0.9581,14489,106693,0.1358008491653623,Apache License 2.0,true,8
goldbergyoni/nodebestpractices,8.95,766,0,72,Dockerfile,0.8397,10721,105599,0.10152558262862338,Creative Commons Attribution Share Alike 4.0 International,true,2
microsoft/terminal,9.04,4526,156,0,C++,0.8814,9551,104694,0.09122776854452022,MIT License,true,12
deepseek-ai/DeepSeek-V3,1.67,25,1,363,Python,0.8757,16730,104415,0.16022602116554135,MIT License,true,1
rasbt/LLMs-from-scratch,3.09,508,0,2,Jupyter Notebook,0.9917,15891,103851,0.15301730363694138,Other,true,3
react/create-react-app,10.11,1949,83,557,JavaScript,0.7799,26914,103280,0.2605925639039504,MIT License,true,8
pytorch/pytorch,10.04,6615,68,0,Python,0.7699,28993,102602,0.28257733767372956,Other,true,26
neovim/neovim,12.57,19734,55,0,Vim Script,0.8907,7055,101984,0.0691775180420458,Other,true,16
Anduin2017/HowToCook,6.49,647,5,1,Não informado,0.4597,11084,101977,0.1086911754611334,The Unlicense,true,0
fastapi/fastapi,7.72,3571,300,0,Python,0.9997,9817,101864,0.09637359616743894,MIT License,true,5
ruanyf/weekly,7.87,121,0,0,Não informado,0.1623,4372,101343,0.04314062145387446,Não informado,false,0
JuliusBrussee/caveman,0.40,60,27,1,Go,0.5123,5871,101164,0.05803447866830098,Other,true,8
angular/angular,11.94,7442,693,0,TypeScript,0.9682,27439,100998,0.2716786471019228,MIT License,true,7
TauricResearch/TradingAgents,1.66,27,8,39,Python,0.5896,19411,100722,0.192718571910804,Apache License 2.0,true,2
mtdvio/every-programmer-should-know,9.01,109,0,240,Não informado,0.6596,8772,100342,0.08742102011121963,Creative Commons Attribution 4.0 International,false,0
ant-design/ant-design,11.34,18267,759,0,TypeScript,0.9691,54695,99206,0.5513275406729432,MIT License,true,6
mui/material-ui,12.02,22214,572,0,JavaScript,0.9329,32555,98937,0.3290477778788522,MIT License,true,4
nvbn/thefuck,11.38,482,17,768,Python,0.6106,3959,97744,0.04050376493697823,MIT License,true,5
earendil-works/pi,1.05,928,256,0,TypeScript,0.9855,12090,97742,0.12369298766139428,MIT License,true,8
tailwindlabs/tailwindcss,8.89,3476,307,12,TypeScript,0.9945,5586,97337,0.0573882490728089,MIT License,true,6
florinpop17/app-ideas,7.50,151,0,319,Não informado,0.2637,10599,97101,0.10915438563969475,MIT License,false,0
microsoft/Web-Dev-For-Beginners,5.79,689,0,21,JavaScript,0.8522,15821,96483,0.16397707368137393,MIT License,true,5
hacksider/Deep-Live-Cam,2.92,123,13,0,Python,0.9813,14021,96133,0.14585002028439767,GNU Affero General Public License v3.0,true,2
oven-sh/bun,5.37,9997,215,0,Rust,0.8114,5003,95712,0.05227139752591107,Other,true,18
puppeteer/puppeteer,9.30,6238,703,0,TypeScript,0.9668,9567,95498,0.1001801084839473,Apache License 2.0,true,7
microsoft/playwright,6.78,17754,165,0,TypeScript,0.9916,6344,95174,0.06665686006682497,Apache License 2.0,true,15
ryanmcdermott/clean-code-javascript,9.75,149,0,758,JavaScript,0.6721,12619,94765,0.13316097715401257,MIT License,false,1
nvm-sh/nvm,16.36,761,74,8,Shell,0.8613,10399,94755,0.10974618753627777,MIT License,true,4
karpathy/autoresearch,0.47,7,0,153,Python,0.5221,13362,94751,0.14102225834028137,Não informado,false,2
iluwatar/java-design-patterns,12.05,1585,0,1,Java,0.8793,27396,94623,0.2895279160457817,Other,true,5
punkpeye/awesome-mcp-servers,1.74,3393,0,0,Não informado,0.9735,15110,92853,0.16273033719965968,MIT License,true,0
3b1b/manim,11.43,702,13,8,Python,0.6265,7587,92080,0.08239574283231972,MIT License,true,2
deepseek-ai/DeepSeek-R1,1.60,10,1,425,Não informado,0.9835,11702,92038,0.12714313653056347,MIT License,true,0
thedotmack/claude-mem,0.99,517,310,0,JavaScript,0.9717,8079,91932,0.08788017230126616,Apache License 2.0,true,5
nexu-io/open-design,0.33,3021,31,0,TypeScript,0.7470,10561,91762,0.11509121422811186,Apache License 2.0,true,13
ruvnet/RuView,1.22,409,292,0,Rust,0.9143,12178,91743,0.13274037256248433,MIT License,true,17
storybookjs/storybook,10.44,13184,1000,0,TypeScript,0.8918,10408,90941,0.11444782881208695,MIT License,true,13
louislam/uptime-kuma,5.15,1837,134,0,JavaScript,0.8566,8296,90643,0.09152389042728065,MIT License,true,13
opencv/opencv,14.10,14095,69,0,C++,0.7812,56972,90612,0.6287467443605703,Apache License 2.0,true,19
Stirling-Tools/Stirling-PDF,3.58,4173,186,0,Java,0.8025,8205,90489,0.09067400457514173,Other,true,14
sherlock-project/sherlock,7.67,744,2,0,Python,0.9168,10608,90361,0.11739577915251048,MIT License,true,3
PanJiaChen/vue-element-admin,9.36,311,49,671,Vue,0.6524,30344,90208,0.3363781482795318,MIT License,false,6
vllm-project/vllm,3.54,20394,104,0,Python,0.8741,21249,90143,0.2357254584382592,Apache License 2.0,true,10
home-assistant/core,12.94,90760,1000,0,Python,0.9630,38409,90116,0.42621731989879713,Apache License 2.0,true,7
bitcoin/bitcoin,15.69,16863,68,0,C++,0.9638,39341,90016,0.4370445254177035,MIT License,true,16
addyosmani/agent-skills,0.53,134,9,5,JavaScript,0.5745,9628,90007,0.10696945793104981,MIT License,true,5
mermaid-js/mermaid,11.82,2830,210,0,TypeScript,0.6162,9187,89953,0.10213111291452202,MIT License,true,10
modelcontextprotocol/servers,1.77,1229,27,6,TypeScript,0.7889,11513,89887,0.12808303759164283,Other,true,4
microsoft/ML-For-Beginners,5.48,496,0,6,Jupyter Notebook,0.9879,22093,89824,0.24595876380477377,MIT License,true,7
gohugoio/hugo,13.15,3490,381,0,Go,0.9743,8349,89555,0.09322762548154766,Apache License 2.0,true,9
localsend/localsend,3.70,734,27,2,Dart,0.4489,4977,89443,0.05564437686571336,Apache License 2.0,true,16
infiniflow/ragflow,2.71,8743,53,0,Go,0.8317,10511,89322,0.11767537672689819,Apache License 2.0,true,15
zed-industries/zed,5.51,26583,1000,0,Rust,0.8888,10267,89267,0.11501450704067573,Other,true,19
astral-sh/uv,2.90,10180,304,0,Rust,0.7438,3517,89121,0.03946320171452295,Apache License 2.0,true,11
gin-gonic/gin,12.19,1247,29,11,Go,0.7484,8680,89117,0.09740004712905506,MIT License,true,2
django/django,14.33,10694,0,3,Python,0.0000,34184,88955,0.38428418863470293,"BSD 3-Clause ""New"" or ""Revised"" License",true,7
MunGell/awesome-for-beginners,10.84,484,0,32,Não informado,0.9065,7985,88743,0.08997892791544122,Não informado,true,0
ChatGPTNextWeb/NextChat,3.46,912,77,15,TypeScript,0.8045,59201,88650,0.6678059785673999,MIT License,true,6
PaddlePaddle/PaddleOCR,6.30,3199,33,35,Python,0.9850,11237,88311,0.12724349175074454,Apache License 2.0,true,20
syncthing/syncthing,12.75,2927,480,1,Go,0.9394,5434,88014,0.06174017769900243,Mozilla Public License 2.0,true,9
sveltejs/svelte,9.76,6858,636,0,JavaScript,0.8985,5218,87990,0.059302193431071716,MIT License,true,5
ByteByteGoHq/system-design-101,2.94,23,0,509,Não informado,0.3125,9755,87615,0.1113393825258232,Other,true,0
OpenCut-app/OpenCut,1.18,192,3,16,TypeScript,0.2670,8582,86900,0.09875719217491369,MIT License,true,3
odysseus-dev/odysseus,0.24,1439,0,1,Python,0.5275,667,86299,0.007728942397942039,GNU Affero General Public License v3.0,true,10
OpenHands/OpenHands,2.46,7550,134,0,TypeScript,0.9287,11136,85191,0.13071803359509807,MIT License,true,8
laravel/laravel,15.22,1710,228,1,Blade,0.0000,24890,84876,0.2932513313539752,Não informado,true,4
macrozheng/mall,8.40,1,3,104,Java,0.9782,29825,84633,0.3524039086408375,Apache License 2.0,false,3
koala73/worldmonitor,0.63,4739,43,0,TypeScript,0.8431,12649,84301,0.15004566968363364,GNU Affero General Public License v3.0,true,14
bregman-arie/devops-exercises,6.90,309,0,242,Python,0.6574,20241,84277,0.24017228899937113,Other,true,5
DopplerHQ/awesome-interview-questions,10.74,175,0,758,Não informado,0.5574,9560,84214,0.11352031728691192,Não informado,true,0
realworld-apps/realworld,10.50,438,0,0,TypeScript,0.9526,7654,84137,0.09097067877390447,Other,true,8
Developer-Y/cs-video-courses,9.85,286,0,0,Não informado,0.0000,11444,83182,0.1375778413599096,Não informado,false,0
animate-css/animate.css,14.87,315,22,758,CSS,0.9515,15918,82753,0.19235556414873176,Other,true,4
fighting41love/funNLP,8.01,14,0,838,Python,0.5217,15278,82695,0.1847511941471673,Não informado,false,1
junegunn/fzf,12.84,690,84,0,Go,0.9174,2859,82666,0.03458495633029299,MIT License,true,9
vitejs/vite,6.35,6656,715,0,TypeScript,0.9434,8681,82541,0.10517197513962757,MIT License,true,14
lobehub/lobehub,3.27,8032,1000,0,TypeScript,0.9508,15838,82021,0.19309688982089954,Other,true,14
mlabonne/llm-course,3.19,2,0,202,Não informado,0.3300,9541,82005,0.11634656423388817,Apache License 2.0,false,0
tonsky/FiraCode,11.79,145,29,29,Clojure,0.6957,3189,81951,0.038913497089724344,SIL Open Font License 1.1,true,8
jesseduffield/lazygit,8.27,2046,186,0,Go,0.6835,3004,81660,0.036786676463384765,MIT License,true,6
spring-projects/spring-boot,13.85,217,355,0,Java,0.9893,42089,81367,0.5172735875723573,Apache License 2.0,true,15
Leonxlnx/taste-skill,0.51,15,0,2,JavaScript,0.3023,5550,80981,0.06853459453452045,MIT License,false,2
